Flight ID,Departure Time,Arrival Time,Frequency per Week,Passenger Count,Delay (Minutes),Ground Crew Needed,Flight Crew Needed
F085,2024-07-22 03:43:58,2024-09-27 19:39:53,5,257,13.989351335308886,8,4
F086,2024-05-01 00:09:19,2024-03-19 22:40:23,3,178,19.696995470268824,7,3
F087,2024-05-19 11:32:05,2024-10-07 06:46:48,7,222,19.280659342126285,7,3
F088,2024-05-24 19:40:08,2024-06-21 09:48:59,3,192,8.30882114870709,8,4
F089,2024-04-22 03:37:20,2024-04-08 02:02:42,7,167,28.045071786193613,7,3
F090,2024-01-12 11:21:52,2024-08-24 01:44:27,7,146,16.1300931661619,7,3
F091,2024-08-11 07:44:20,2024-01-07 14:11:20,3,284,23.785432519577093,5,3
F092,2024-02-21 12:07:46,2024-08-22 03:27:29,7,286,21.32443561152378,6,4
F093,2024-06-26 19:31:41,2024-01-27 20:32:24,5,231,20.840336618104704,9,3
F094,2024-10-09 12:51:24,2024-07-07 07:59:43,3,248,7.878678584869954,8,3
F095,2024-07-14 14:34:53,2024-10-12 01:21:36,7,168,16.031869195190843,5,4
F096,2024-03-14 14:36:40,2024-11-06 17:04:27,7,244,13.052216416770246,6,4
F097,2024-01-15 17:36:18,2024-05-15 21:19:04,7,238,19.995954658616178,8,3
F098,2024-01-03 11:20:50,2024-06-13 06:15:04,7,283,15.770496227096984,6,4
F099,2024-07-13 19:47:10,2024-07-18 01:19:10,5,217,10.72348393783816,5,4
F100,2024-02-14 08:02:34,2024-01-04 02:40:08,5,240,19.820192149121088,8,3
